success,miss,time,range,v_target,m_type,m_intensity,fail_mode,v_final
True,1.03,2.715,946.303077555689,115.09166648813054,Weaving,2.8600922653099876,Success,305.3372559633937
True,0.7,8.035,2025.1922847582885,59.50858392756309,Virage,4.245806140613221,Success,283.54730930373046
True,1.31,16.06,4653.4326608047295,59.32301017036774,Weaving,5.247077141109569,Success,122.21206056960087
True,0.31,8.8,3027.138862964326,85.35980796337677,Weaving,5.47236859547626,Success,287.5730175821653
True,1.14,9.855,3201.845410511047,71.2738805672006,Rectiligne,0.0,Success,289.6580752409474
True,1.08,12.105,4304.180383706052,107.41000043314627,Weaving,5.898186408502832,Success,191.59184368674755
True,0.52,8.935,3392.146237234241,132.9460789959663,Rectiligne,0.0,Success,287.95212280835597
True,0.65,5.555,1890.4310997345956,136.98627065364383,Virage,2.8512479249076117,Success,290.5812071376032
True,1.0,2.105,637.9569427140766,91.98324937645032,Rectiligne,0.0,Success,327.7064824875631
True,2.0,18.6,3995.7602898503346,55.260882642552176,Virage,6.043812263678678,Success,108.33967251879946
True,1.99,9.915,3478.7241176371754,77.31668443647695,Rectiligne,0.0,Success,284.9111409844317
True,1.01,4.915,1774.609115362022,116.71325587363496,Rectiligne,0.0,Success,284.9637264952182
True,0.68,2.745,534.591886549473,63.7234805257327,Rectiligne,0.0,Success,310.55611428072217
True,1.0,10.75,3861.563555433955,120.36712633826636,Weaving,5.224800746267055,Success,241.2594508230459
False,1744.18,0.0,690.3601770325612,136.21100136120663,Virage,6.256993769413605,Seeker Lost (FOR),100.0
False,2.08,3.855,1018.2801769870921,130.1322154310452,Weaving,5.679079006965539,Seeker Lost (FOR),294.5000217037284
True,1.72,4.67,1594.9241367023014,89.5766696859333,Rectiligne,0.0,Success,292.9858721335882
True,1.21,3.66,1256.5971862055897,100.99520623229719,Rectiligne,0.0,Success,289.3199314792168
False,521.61,17.12,4185.268706861834,64.64442182776943,Virage,6.5612917732813525,Seeker Lost (FOR),117.37996772160723
False,992.47,1.275,1297.1575802625312,125.44458252469857,Virage,7.544925550313956,Seeker Lost (FOR),275.62104450792117
True,1.0,8.66,3358.8424357726703,112.72174068997718,Rectiligne,0.0,Success,286.8333193840758
True,0.46,5.375,1862.6919581255581,100.73368852897781,Virage,2.3413403050037145,Success,288.0976143528647
True,1.13,2.56,845.2895052805475,111.50083884155737,Virage,5.325898228029823,Success,312.3975331225859
False,1233.94,15.09,4531.445445005612,115.18374546486099,Virage,2.905166460173831,Seeker Lost (FOR),141.93364635535806
False,441.54,5.29,965.7584477167622,121.43155491674626,Rectiligne,0.0,Seeker Lost (FOR),281.4818409680806
True,0.76,7.355,2469.9122343915483,65.87462079815414,Rectiligne,0.0,Success,284.22118224464555
True,0.65,5.43,2022.652160786388,114.73053569693069,Rectiligne,0.0,Success,285.06124670751126
True,1.17,4.385,1778.6613824515118,140.63426971636773,Rectiligne,0.0,Success,289.83046620836905
True,1.71,4.485,1136.4277126294303,119.8479962811881,Virage,7.628013197394565,Success,291.3003341483794
True,1.29,6.745,2195.0568772533506,117.01163999947225,Weaving,4.7416577611103055,Success,282.594979785755
True,1.17,7.41,2405.3286484494665,68.02629228768447,Weaving,3.945083683490909,Success,288.6088733186074
True,1.87,6.125,847.2428793539434,127.0874720363101,Weaving,2.150989969430245,Success,282.1976945125954
True,0.85,3.715,1089.7206864327861,133.13450566891254,Weaving,2.6621566629762348,Success,298.3734087069592
True,1.59,16.48,3543.633149848398,78.49279325633583,Virage,5.204066898189566,Success,121.51397764753878
True,1.12,12.63,4138.807419908539,86.78409582250328,Weaving,3.8467199137639567,Success,180.2478022100985
True,0.91,8.015,2873.569048076672,130.12592241515478,Rectiligne,0.0,Success,283.87286055936966
True,1.53,10.835,4433.526252735066,134.58922767334383,Rectiligne,0.0,Success,243.55622982885907
True,0.7,4.855,1727.5608481611048,93.74725601949808,Rectiligne,0.0,Success,288.3324295199057
