id,success,miss_distance,flight_time,range_init,target_speed,m_type,m_intensity,failure_mode,v_final
30,True,1.13,9.01,3126.5253018105113,70.42591994235364,Rectiligne,0.0,Success,285.8574426896734
31,True,1.94,14.355,3522.6060033198705,125.18644924144022,Virage,5.99381776341777,Success,148.5376545350042
32,False,599.76,8.345,829.6732449483485,143.3259377993709,Weaving,3.108581266216652,Ground Collision,293.69191348832544
33,True,0.82,9.385,3665.9296628931693,115.39763177107326,Weaving,2.898136256599934,Success,288.7738076740586
34,True,1.13,7.385,1104.3100147701548,105.32236408848159,Virage,4.870448748555192,Success,289.894412558146
35,True,0.39,8.145,3354.070814982859,140.53364910793232,Rectiligne,0.0,Success,284.523349770304
36,True,0.86,5.24,1745.0610078751324,113.71133773013796,Weaving,3.655041263379174,Success,290.0510545252836
37,True,1.09,7.74,838.5973703319517,104.55902892055224,Virage,2.5923751422699306,Success,280.8791087215681
38,True,0.75,6.905,1887.1625746856016,136.07025820009028,Rectiligne,0.0,Success,280.5063660989439
39,True,1.51,4.615,962.5712975230354,90.63773898321168,Rectiligne,0.0,Success,281.39441366043
40,True,0.8,10.55,4390.725632989837,138.14162046633243,Weaving,2.996556403839286,Success,258.2469207943265
41,True,0.58,10.985,4388.288127688757,128.7374509135471,Weaving,4.575779754013345,Success,238.91180504712506
42,True,1.93,8.055,2571.3645560552395,72.75954874077703,Rectiligne,0.0,Success,289.7804980281572
43,True,1.3,12.205,4389.588239136288,114.14817386076277,Weaving,3.6086471974361656,Success,190.64272667272436
44,False,221.36,60.0,4866.802749600026,76.54663625229686,Virage,4.914180242610817,Kinetic Exhaustion,60.08325487926659
45,True,1.29,8.49,3227.9398398776448,107.65880434965996,Weaving,2.0050738346558883,Success,284.95334020953027
46,True,1.55,16.565,3737.4349961518046,86.42214717812641,Virage,3.3208001441703856,Success,118.7096610827165
47,False,65.78,60.0,4316.06875777851,80.92846622086532,Virage,3.182620810103788,Kinetic Exhaustion,0.09840900858345146
48,True,0.89,7.78,2392.008501978087,140.28055457325826,Rectiligne,0.0,Success,281.1785758891434
49,False,7.51,4.88,501.82672863779385,107.9984781195682,Virage,3.7686391972192297,Ground Collision,291.52152457536084
50,True,1.38,10.66,2629.337836591968,66.96913961980547,Virage,4.5317634230631825,Success,245.86678415951872
51,True,1.0,12.735,4182.905590414989,72.46406659972882,Rectiligne,0.0,Success,176.83043949974467
52,True,1.07,8.22,2638.113548984623,91.44410109977193,Rectiligne,0.0,Success,282.9427415318797
53,True,1.0,9.02,2724.6972605469664,50.55448181380318,Weaving,2.319761889690617,Success,288.18518009713233
54,False,312.36,60.0,4810.847190257929,74.91982796599717,Virage,5.205666406889058,Kinetic Exhaustion,0.09804487210999198
55,True,1.23,12.17,4945.516038799016,139.1425925810437,Weaving,3.514334494473206,Success,198.2708857644352
56,False,5.14,43.58,4537.43646454968,75.91915484650194,Virage,5.063254737188662,Ground Collision,108.48925045833981
57,True,1.29,9.41,3320.367966418016,78.57281508631525,Rectiligne,0.0,Success,286.8973663718775
58,True,1.08,3.635,1122.683276822701,120.64191416945522,Virage,4.170444562015661,Success,296.265217392411
59,True,1.57,4.07,1430.7547528148461,108.40794142042252,Weaving,4.2967837283542085,Success,289.64936597264165
