success,miss,time,range,v_target,m_type,m_intensity,fail_mode,v_final
True,1.55,3.225,1074.325087765223,89.40202563397048,Rectiligne,0.0,Success,294.62463772950014
True,1.59,3.365,1110.6476925375391,87.91038641881396,Rectiligne,0.0,Success,298.8039841296011
True,0.97,6.31,2206.0679700386136,75.22715317823805,Rectiligne,0.0,Success,288.3095202957652
True,1.09,14.04,4999.585228291441,128.1233049610895,Weaving,5.798446930863955,Success,156.28955511884305
True,1.39,4.16,1185.7205560315567,106.39695819300192,Virage,6.601388590137445,Success,286.1683693660313
True,1.36,8.845,3232.6137225091925,131.9301174311085,Rectiligne,0.0,Success,283.18543922453244
True,0.9,6.865,1903.8075997761284,89.66544415166274,Rectiligne,0.0,Success,280.18041535582444
True,1.97,8.71,3322.5907802047,135.02932390887963,Rectiligne,0.0,Success,288.60359613507114
True,1.52,11.715,4021.859058624588,87.05708762180562,Rectiligne,0.0,Success,216.00671496810065
True,1.94,12.07,4200.489131405262,113.5585106101446,Weaving,3.741948580030708,Success,204.12430692381412
True,1.22,4.71,1715.3707837433037,98.34975038831962,Weaving,3.0735821521969013,Success,292.8928251362309
True,1.86,2.565,889.9830412505348,96.47084666032318,Rectiligne,0.0,Success,311.88195136069686
True,0.47,10.975,4329.287763406066,129.78323568280965,Weaving,4.804735001328806,Success,231.35247648337895
False,250.82,26.71,4766.281599996641,98.85778468487874,Virage,5.875417398445713,Seeker Lost (FOR),56.091237281402265
True,1.32,18.25,4068.1979065954283,119.17871552952019,Virage,4.839562932557149,Success,112.59789861117176
True,1.0,6.275,2414.7671571734663,120.2854942185769,Rectiligne,0.0,Success,285.56400606711946
True,1.81,3.53,1366.6293205318284,126.2189609484103,Rectiligne,0.0,Success,291.20099877078025
True,1.68,11.165,3760.632504918732,78.2998703274955,Rectiligne,0.0,Success,228.0287954394756
True,1.66,5.58,1307.4869465843149,77.43113267832673,Virage,6.184504357461167,Success,286.617128513412
False,573.59,21.89,4408.075387683248,107.40642196263323,Virage,3.1061820223404903,Seeker Lost (FOR),73.79113384820658
False,610.36,25.19,4734.786185456464,90.07074422519398,Virage,2.3216544457551986,Seeker Lost (FOR),58.63127351570317
True,0.89,11.325,3032.778186880539,61.845156221146155,Virage,6.744444979060517,Success,218.65756355975725
True,1.12,7.225,2851.5764080859803,136.016666582618,Rectiligne,0.0,Success,283.90574785553014
